BIL,HS,PRODUCT DESCRIPTION,COUNTRY,MONTH,TRADE FLOW,TRADE VALUE
29,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",AUSTRALIA,2022-05-01,IMPORTS,0
30,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRAZIL,2022-05-01,IMPORTS,519278
31,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",FRANCE,2022-05-01,IMPORTS,1653107
32,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NETHERLANDS,2022-05-01,IMPORTS,0
33,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEW ZEALAND,2022-05-01,IMPORTS,1936682
34,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SPAIN,2022-05-01,IMPORTS,0
35,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",UNITED STATES,2022-05-01,IMPORTS,0
36,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BANGLADESH,2022-01-01,EXPORTS,685004
37,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",BRUNEI DARUSSALAM,2022-01-01,EXPORTS,673607
38,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",MYANMAR,2022-01-01,EXPORTS,153272
39,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",NEPAL,2022-01-01,EXPORTS,162141
40,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",PAKISTAN,2022-01-01,EXPORTS,0
41,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",SINGAPORE,2022-01-01,EXPORTS,0
42,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",THAILAND,2022-01-01,EXPORTS,2530
43,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",TIMOR LESTE,2022-01-01,EXPORTS,28224
44,0105111000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: BREEDING FOWLS",VIET NAM,2022-01-01,EXPORTS,1371492
45,0105119000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: OTHER THAN BREEDING FOWLS",PAKISTAN,2022-01-01,EXPORTS,8000
46,0105119000,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS: OTHER THAN BREEDING FOWLS",THAILAND,2022-01-01,EXPORTS,229140
47,0105949100,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:WEIGHING NOT MORE THAN 2 KG",SINGAPORE,2022-01-01,EXPORTS,23838302
48,0105949100,"LIVE POULTRY, THAT IS TO SAY, FOWLS OF THE SPECIES GALLUS DOMESTICUS, DUCKS, GEESE, TURKEYS AND GUINEA FOWLS.OTHER THAN WEIGHING NOT MORE THAN 185 G:FOWLS OF THE SPECIES GALLUS DOMESTICUS:OTHER THAN BREEDING FOWLS, OTHER THAN FIGHTING COCKS AND FIGHTING COCKS:WEIGHING NOT MORE THAN 2 KG",THAILAND,2022-01-01,EXPORTS,0
